TIMESTAMP,trap-xcor,trap-ycor
2010-01-01 12:00:00.000,-11.0,-14.0
2010-01-01 12:00:01.117,-12.0,-10.0
2010-01-01 12:00:01.454,-9.0,-13.0
2010-01-01 12:00:01.971,-14.0,-13.0
2010-01-01 12:00:02.037,-10.0,-15.0
2010-01-01 12:00:02.392,-5.0,-15.0
2010-01-01 12:00:02.440,-6.0,-16.0
2010-01-01 12:00:02.500,-13.0,-10.0
2010-01-01 12:00:02.543,-6.0,-15.0
2010-01-01 12:00:02.630,-12.0,-11.0
2010-01-01 12:00:02.710,-8.0,-10.0
2010-01-01 12:00:02.916,-6.0,-6.0
2010-01-01 12:00:02.965,-5.0,-12.0
2010-01-01 12:00:03.020,-16.0,-12.0
2010-01-01 12:00:03.188,-12.0,-16.0
2010-01-01 12:00:03.199,-7.0,-2.0
2010-01-01 12:00:03.208,-16.0,-15.0
2010-01-01 12:00:03.209,-9.0,-2.0
2010-01-01 12:00:03.345,-4.0,-8.0
2010-01-01 12:00:03.425,-5.0,-16.0
2010-01-01 12:00:03.745,-3.0,-7.0
2010-01-01 12:00:03.784,-2.0,-16.0
2010-01-01 12:00:03.796,-6.0,-12.0
2010-01-01 12:00:03.933,-6.0,-9.0
2010-01-01 12:00:03.936,-5.0,-13.0
2010-01-01 12:00:03.966,-14.0,-11.0
2010-01-01 12:00:03.973,-4.0,-1.0
2010-01-01 12:00:04.006,-14.0,-6.0
2010-01-01 12:00:04.051,-1.0,-11.0
2010-01-01 12:00:04.083,-6.0,-11.0
2010-01-01 12:00:04.144,-9.0,-7.0
2010-01-01 12:00:04.171,1.0,-6.0
2010-01-01 12:00:04.187,-14.0,-4.0
2010-01-01 12:00:04.237,-3.0,-12.0
2010-01-01 12:00:04.263,-11.0,-6.0
2010-01-01 12:00:04.271,-14.0,-16.0
2010-01-01 12:00:04.318,-5.0,-10.0
2010-01-01 12:00:04.405,-4.0,-7.0
2010-01-01 12:00:04.449,-9.0,-4.0
2010-01-01 12:00:04.459,-5.0,-8.0
